reaction,name,lb,ub
NDP8,Nucleoside-diphosphatase (dUDP),0.0,1000.0
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),-1000.0,1000.0
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),-1000.0,1000.0
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),-1000.0,1000.0
NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),-1000.0,1000.0
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),-1000.0,1000.0
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),-1000.0,1000.0
NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),-1000.0,1000.0
NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),-1000.0,1000.0
NDPK9,Nucleoside diphosphate kinase  ATPIDP ,-1000.0,1000.0
NMNHYD_1,Nicotinamide ribonucleotide phosphohydrolase,0.0,1000.0
NMNS,NMN synthetase,0.0,1000.0
NNAM,Nicotinamidase,0.0,1000.0
NNATr,Nicotinate-nucleotide adenylyltransferase,-1000.0,1000.0
NO3abc,NO3abc,0.0,1000.0
NOX,NADH oxidase,0.0,1000.0
NP1_1,Nucleotide phosphatase,-1000.0,1000.0
NT5C,5'-nucleotidase,0.0,1000.0
NTD10,5'-nucleotidase (XMP),0.0,1000.0
NTD11,5'-nucleotidase (IMP),0.0,1000.0
NTD1_1,5'-nucleotidase (dUMP),0.0,1000.0
NTD2,5'-nucleotidase (UMP),0.0,1000.0
NTD3,5'-nucleotidase (dCMP),0.0,1000.0
NTD4,5'-nucleotidase (CMP),0.0,1000.0
NTD5,5'-nucleotidase (dTMP),0.0,1000.0
NTD6,5'-nucleotidase (dAMP),0.0,1000.0
NTD7,5'-nucleotidase (AMP),0.0,1000.0
NTD8,5'-nucleotidase (dGMP),0.0,1000.0
NTD9,5'-nucleotidase (GMP),0.0,1000.0
NTP1,Nucleoside-triphosphatase (ATP),0.0,1000.0
NTP10,Nucleoside-triphosphatase (ITP),0.0,1000.0
NTP3,Nucleoside-triphosphatase (GTP),0.0,1000.0
NTP5,Nucleoside-triphosphatase (CTP),0.0,1000.0
NTP7,Nucleoside-triphosphatase (UTP),0.0,1000.0
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),0.0,1000.0
NTPP11,Nucleoside triphosphate pyrophosphorylase (xtp),0.0,1000.0
NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),0.0,1000.0
NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),0.0,1000.0
NTPP4,Nucleoside triphosphate pyrophosphorylase (ctp),0.0,1000.0
NTPP5,Nucleoside triphosphate pyrophosphorylase (datp),0.0,1000.0
NTPP7,Nucleoside triphosphate pyrophosphorylase (dttp),0.0,1000.0
NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),0.0,1000.0
NTPP9,Nucleoside triphosphate pyrophosphorylase (itp),0.0,1000.0
NTRIR2x,Nitrite Reductase (NADH),0.0,1000.0
NTRIR2y,Nitrite Reductase (NADPH),0.0,1000.0
OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,0.0,1000.0
OMPDC,Orotidine-5'-phosphate decarboxylase,0.0,1000.0
ORNDC,Ornithine Decarboxylase,0.0,1000.0
ORPT,Orotate phosphoribosyltransferase,-1000.0,1000.0
PAPSSH,PAPSSH,-1000.0,1000.0
PC,Pyruvate carboxylase,0.0,1000.0
PDE1,"3',5'-cyclic-nucleotide phosphodiesterase",0.0,1000.0
PDE4,"3',5'-cyclic-nucleotide phosphodiesterase",0.0,1000.0
PDH,Pyruvate dehydrogenase,0.0,1000.0
PFL,Pyruvate formate lyase,0.0,1000.0
PGL,6-phosphogluconolactonase,0.0,1000.0
PGLYCP,Phosphoglycolate phosphatase,0.0,1000.0
PGLYCP_1,Phosphoglycolate phosphatase,0.0,1000.0
PIabc,Phosphate transport via ABC system,0.0,1000.0
PIt2r,Phosphate reversible transport via symport,0.0,1000.0
PIt7,Phosphate transport in/out via three Na+ symporter,0.0,1000.0
PMANM,Phosphomannomutase,-1000.0,1000.0
PNP_1,Purine-nucleoside phosphorylase,-1000.0,1000.0
PPA,Inorganic diphosphatase,0.0,1000.0
PPANA,Inorganic diphosphatase (sodium translocation),0.0,1000.0
PPCDC,Phosphopantothenoylcysteine decarboxylase,0.0,1000.0
PPDK,"Pyruvate,phosphate dikinase.",0.0,1000.0
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",0.0,1000.0
PPK,Polyphosphate kinase,0.0,1000.0
PPNDH,Prephenate dehydratase,0.0,1000.0
PPNDH2,PPNDH2,-1000.0,1000.0
PPS,Phosphoenolpyruvate synthase,0.0,1000.0
PRAGSr,Phosphoribosylglycinamide synthase,-1000.0,1000.0
PRAMPC,Phosphoribosyl-AMP cyclohydrolase,0.0,1000.0
PRAMPC_1,Phosphoribosyl AMP cyclohydrolase,0.0,1000.0
PRATPP,Phosphoribosyl-ATP pyrophosphatase,0.0,1000.0
PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,-1000.0,1000.0
PTPATi,Pantetheine-phosphate adenylyltransferase,0.0,1000.0
PUNP1,Purine-nucleoside phosphorylase (Adenosine),-1000.0,1000.0
PUNP1_1,Purine-nucleoside phosphorylase (Adenosine),-1000.0,1000.0
PUNP3,Purine-nucleoside phosphorylase (Guanosine),-1000.0,1000.0
PUNP3_1,Purine-nucleoside phosphorylase (Guanosine),0.0,1000.0
PUNP5,Purine-nucleoside phosphorylase (Inosine),-1000.0,1000.0
PUNP5_1,Purine-nucleoside phosphorylase (Inosine),-1000.0,1000.0
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),-1000.0,1000.0
PUNP7_1,Purine-nucleoside phosphorylase (Xanthosine),-1000.0,1000.0
PYK2,Pyruvate kinase(2),0.0,1000.0
PYK3,Pyruvate kinase(3),0.0,1000.0
PYK4,Pyruvate kinase(4),0.0,1000.0
PYK5,Pyruvate kinase(5),0.0,1000.0
RBFK,Riboflavin kinase,0.0,1000.0
RNDR1,Ribonucleoside-diphosphate reductase (ADP),0.0,1000.0
